src_subject_id,session_id,param_counterbalance_ver,param_video_id,param_trigger_onset,param_start_biopac,event01_block_cue_type,event01_block_order,event01_block_cue_onset,event01_block_cue_stop,event01_block_cue_onset_biopac,event02_video_filename,event02_video_onset,event02_video_stop,event02_video_onset_biopac,event03_rating_displayonset,event03_rating_displaystop,event03_rating_RT,event03_rating_responseonset,event03_rating_displayonset_biopac,event03_rating_displayresponse_biopac,event03_rating_type,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_rating_response_biopac
1,3,1,15,1606952517.09158,1606952517.09881,mentalizing,1,1606952519.88803,0,1606952519.87847,ses-03_run-01_order-15_content-giving.mp4,1606952522.96153,1606952528.45781,1606952522.96556,1606952528.54104,0,1.63423609733582,1606952530.17528,1606952528.54142,0,heights,0,0,0,1606952530.17602
1,3,1,11,1606952517.09158,1606952517.09881,mentalizing,1,1606952519.88803,0,1606952519.87847,ses-03_run-01_order-11_content-menrunning.mp4,1606952533.70981,1606952539.26196,1606952533.71099,1606952539.3285,0,2.16833710670471,1606952541.49684,1606952539.32876,0,heights,0,0,0,1606952541.49722
1,3,1,10,1606952517.09158,1606952517.09881,mentalizing,1,1606952519.88803,0,1606952519.87847,ses-03_run-01_order-10_content-captureflag.mp4,1606952544.41537,1606952549.6325,1606952544.41656,1606952549.69905,0,2.63450598716736,1606952552.33355,1606952549.69939,0,heights,0,0,0,1606952552.33372
1,3,1,5,1606952517.09158,1606952517.09881,likeability,2,1606952554.73439,0,1606952554.7258,ses-03_run-01_order-05_content-parkour.mp4,1606952557.83018,1606952561.9038,1606952557.83195,1606952561.97036,0,NaN,NaN,1606952561.97072,0,likeability,0,0,0,NaN
1,3,1,17,1606952517.09158,1606952517.09881,likeability,2,1606952554.73439,0,1606952554.7258,ses-03_run-01_order-17_content-freesolo.mp4,1606952567.07324,1606952573.42504,1606952567.07552,1606952573.49136,0,NaN,NaN,1606952573.49214,0,likeability,0,0,0,NaN
1,3,1,15,1606952517.09158,1606952517.09881,likeability,2,1606952554.73439,0,1606952554.7258,ses-03_run-01_order-15_content-giving.mp4,1606952578.58916,1606952584.09548,1606952578.58983,1606952584.1453,0,NaN,NaN,1606952584.14541,0,likeability,0,0,0,NaN
1,3,1,17,1606952517.09158,1606952517.09881,mentalizing,3,1606952589.16387,0,1606952589.16088,ses-03_run-01_order-17_content-freesolo.mp4,1606952592.25981,1606952598.6008,1606952592.26074,1606952598.65193,0,NaN,NaN,1606952598.65197,0,danger,0,0,0,NaN
1,3,1,7,1606952517.09158,1606952517.09881,mentalizing,3,1606952589.16387,0,1606952589.16088,ses-03_run-01_order-07_content-youth.mp4,1606952603.72026,1606952609.02155,1606952603.72107,1606952609.07303,0,NaN,NaN,1606952609.07313,0,danger,0,0,0,NaN
1,3,1,6,1606952517.09158,1606952517.09881,mentalizing,3,1606952589.16387,0,1606952589.16088,ses-03_run-01_order-06_content-war.mp4,1606952614.18826,1606952619.29207,1606952614.18957,1606952619.35866,0,NaN,NaN,1606952619.3588,0,danger,0,0,0,NaN
1,3,1,3,1606952517.09158,1606952517.09881,similarity,4,1606952624.37714,0,1606952624.37405,ses-03_run-01_order-03_content-bestfriendsweating.mp4,1606952627.46253,1606952633.29733,1606952627.46385,1606952633.34712,0,NaN,NaN,1606952633.34717,0,similarity,0,0,0,NaN
1,3,1,13,1606952517.09158,1606952517.09881,similarity,4,1606952624.37714,0,1606952624.37405,ses-03_run-01_order-13_content-wanderers.mp4,1606952638.45145,1606952643.63465,1606952638.45269,1606952643.70115,0,NaN,NaN,1606952643.70127,0,similarity,0,0,0,NaN
1,3,1,17,1606952517.09158,1606952517.09881,similarity,4,1606952624.37714,0,1606952624.37405,ses-03_run-01_order-17_content-freesolo.mp4,1606952648.79976,1606952655.13891,1606952648.80099,1606952655.20548,0,NaN,NaN,1606952655.2056,0,similarity,0,0,0,NaN
1,3,1,12,1606952517.09158,1606952517.09881,mentalizing,5,1606952660.22403,0,1606952660.222,ses-03_run-01_order-12_content-photography.mp4,1606952663.31312,1606952668.31058,1606952663.31438,1606952668.37711,0,NaN,NaN,1606952668.37722,0,tired,0,0,0,NaN
1,3,1,8,1606952517.09158,1606952517.09881,mentalizing,5,1606952660.22403,0,1606952660.222,ses-03_run-01_order-08_content-dancewithdeath.mp4,1606952673.45054,1606952679.63139,1606952673.45171,1606952679.68291,0,NaN,NaN,1606952679.683,0,tired,0,0,0,NaN
1,3,1,20,1606952517.09158,1606952517.09881,mentalizing,5,1606952660.22403,0,1606952660.222,ses-03_run-01_order-20_content-cupstacking.mp4,1606952684.78671,1606952690.35233,1606952684.78762,1606952690.41876,0,NaN,NaN,1606952690.41888,0,tired,0,0,0,NaN
1,3,1,1,1606952517.09158,1606952517.09881,similarity,6,1606952695.43734,0,1606952695.43372,ses-03_run-01_order-01_content-visswar.mp4,1606952698.53023,1606952703.57386,1606952698.53138,1606952703.62542,0,NaN,NaN,1606952703.62547,0,similarity,0,0,0,NaN
1,3,1,10,1606952517.09158,1606952517.09881,similarity,6,1606952695.43734,0,1606952695.43372,ses-03_run-01_order-10_content-captureflag.mp4,1606952708.6935,1606952713.9111,1606952708.69441,1606952713.96328,0,NaN,NaN,1606952713.9634,0,similarity,0,0,0,NaN
1,3,1,12,1606952517.09158,1606952517.09881,similarity,6,1606952695.43734,0,1606952695.43372,ses-03_run-01_order-12_content-photography.mp4,1606952719.06269,1606952724.06505,1606952719.064,1606952724.11476,0,NaN,NaN,1606952724.11485,0,similarity,0,0,0,NaN
1,3,1,21,1606952517.09158,1606952517.09881,likeability,7,1606952729.13323,0,1606952729.13056,ses-03_run-01_order-21_content-iceblock.mp4,1606952732.23096,1606952737.23653,1606952732.2319,1606952737.30306,0,NaN,NaN,1606952737.30319,0,likeability,0,0,0,NaN
1,3,1,1,1606952517.09158,1606952517.09881,likeability,7,1606952729.13323,0,1606952729.13056,ses-03_run-01_order-01_content-visswar.mp4,1606952742.39334,1606952747.42373,1606952742.39439,1606952747.49026,0,NaN,NaN,1606952747.4904,0,likeability,0,0,0,NaN
1,3,1,11,1606952517.09158,1606952517.09881,likeability,7,1606952729.13323,0,1606952729.13056,ses-03_run-01_order-11_content-menrunning.mp4,1606952752.57915,1606952758.12767,1606952752.58045,1606952758.19428,0,NaN,NaN,1606952758.19438,0,likeability,0,0,0,NaN
1,3,1,19,1606952517.09158,1606952517.09881,similarity,8,1606952763.21278,0,1606952763.20973,ses-03_run-01_order-19_content-beatbox.mp4,1606952766.27694,1606952771.6662,1606952766.27764,1606952771.71817,0,NaN,NaN,1606952771.71821,0,similarity,0,0,0,NaN
1,3,1,11,1606952517.09158,1606952517.09881,similarity,8,1606952763.21278,0,1606952763.20973,ses-03_run-01_order-11_content-menrunning.mp4,1606952776.82222,1606952782.37021,1606952776.82357,1606952782.42216,0,NaN,NaN,1606952782.42224,0,similarity,0,0,0,NaN
1,3,1,9,1606952517.09158,1606952517.09881,similarity,8,1606952763.21278,0,1606952763.20973,ses-03_run-01_order-09_content-knifegame.mp4,1606952787.52489,1606952792.70734,1606952787.52622,1606952792.77396,0,NaN,NaN,1606952792.7741,0,similarity,0,0,0,NaN
1,3,1,2,1606952517.09158,1606952517.09881,likeability,9,1606952797.80919,0,1606952797.79379,ses-03_run-01_order-02_content-HB.mp4,1606952800.93715,1606952807.59644,1606952800.93854,1606952807.66295,0,NaN,NaN,1606952807.66305,0,likeability,0,0,0,NaN
1,3,1,7,1606952517.09158,1606952517.09881,likeability,9,1606952797.80919,0,1606952797.79379,ses-03_run-01_order-07_content-youth.mp4,1606952812.73571,1606952818.03368,1606952812.73685,1606952818.08482,0,NaN,NaN,1606952818.08488,0,likeability,0,0,0,NaN
1,3,1,10,1606952517.09158,1606952517.09881,likeability,9,1606952797.80919,0,1606952797.79379,ses-03_run-01_order-10_content-captureflag.mp4,1606952823.15163,1606952828.3712,1606952823.15265,1606952828.42068,0,NaN,NaN,1606952828.42081,0,likeability,0,0,0,NaN
1,3,1,21,1606952517.09158,1606952517.09881,mentalizing,10,1606952833.43924,0,1606952833.43533,ses-03_run-01_order-21_content-iceblock.mp4,1606952836.53653,1606952841.54242,1606952836.53814,1606952841.5936,0,NaN,NaN,1606952841.59365,0,remember,0,0,0,NaN
1,3,1,9,1606952517.09158,1606952517.09881,mentalizing,10,1606952833.43924,0,1606952833.43533,ses-03_run-01_order-09_content-knifegame.mp4,1606952846.67878,1606952851.86302,1606952846.67984,1606952851.91295,0,NaN,NaN,1606952851.91302,0,remember,0,0,0,NaN
1,3,1,3,1606952517.09158,1606952517.09881,mentalizing,10,1606952833.43924,0,1606952833.43533,ses-03_run-01_order-03_content-bestfriendsweating.mp4,1606952856.99178,1606952862.8171,1606952856.9928,1606952862.86936,0,NaN,NaN,1606952862.86948,0,remember,0,0,0,NaN
1,3,1,4,1606952517.09158,1606952517.09881,likeability,11,1606952867.90231,0,1606952867.89897,ses-03_run-01_order-04_content-unefille.mp4,1606952870.99249,1606952877.82278,1606952870.99374,1606952877.88941,0,NaN,NaN,1606952877.88951,0,likeability,0,0,0,NaN
1,3,1,9,1606952517.09158,1606952517.09881,likeability,11,1606952867.90231,0,1606952867.89897,ses-03_run-01_order-09_content-knifegame.mp4,1606952882.97482,1606952888.16001,1606952882.97612,1606952888.20995,0,NaN,NaN,1606952888.21003,0,likeability,0,0,0,NaN
1,3,1,16,1606952517.09158,1606952517.09881,likeability,11,1606952867.90231,0,1606952867.89897,ses-03_run-01_order-16_content-huggingpets.mp4,1606952893.27753,1606952899.06405,1606952893.27852,1606952899.11524,0,NaN,NaN,1606952899.11536,0,likeability,0,0,0,NaN
1,3,1,8,1606952517.09158,1606952517.09881,similarity,12,1606952904.13267,0,1606952904.12955,ses-03_run-01_order-08_content-dancewithdeath.mp4,1606952907.20627,1606952913.38618,1606952907.20738,1606952913.45279,0,NaN,NaN,1606952913.45291,0,similarity,0,0,0,NaN
1,3,1,7,1606952517.09158,1606952517.09881,similarity,12,1606952904.13267,0,1606952904.12955,ses-03_run-01_order-07_content-youth.mp4,1606952918.52383,1606952923.82351,1606952918.52488,1606952923.89001,0,NaN,NaN,1606952923.89016,0,similarity,0,0,0,NaN
1,3,1,16,1606952517.09158,1606952517.09881,similarity,12,1606952904.13267,0,1606952904.12955,ses-03_run-01_order-16_content-huggingpets.mp4,1606952928.95969,1606952934.76137,1606952928.96035,1606952934.82752,0,NaN,NaN,1606952934.82763,0,similarity,0,0,0,NaN
