block_order,judgment,video_id
1,self_other,6
1,self_other,2
1,self_other,4
2,mentalizing,15
2,mentalizing,11
2,mentalizing,10
3,likeability,13
3,likeability,3
3,likeability,14
4,self_other,13
4,self_other,17
4,self_other,3
5,mentalizing,17
5,mentalizing,6
5,mentalizing,7
6,likeability,1
6,likeability,11
6,likeability,21
7,self_other,5
7,self_other,20
7,self_other,18
8,mentalizing,8
8,mentalizing,20
8,mentalizing,12
9,likeability,10
9,likeability,7
9,likeability,2
10,mentalizing,21
10,mentalizing,3
10,mentalizing,9
11,self_other,14
11,self_other,15
11,self_other,21
12,likeability,16
12,likeability,4
12,likeability,9
13,mentalizing,5
13,mentalizing,2
13,mentalizing,13
14,self_other,7
14,self_other,16
14,self_other,8
15,likeability,5
15,likeability,15
15,likeability,17
16,self_other,10
16,self_other,12
16,self_other,1
17,likeability,19
17,likeability,18
17,likeability,12
18,mentalizing,16
18,mentalizing,1
18,mentalizing,4
19,self_other,19
19,self_other,9
19,self_other,11
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,likeability,6
21,likeability,20
21,likeability,8
